Skew Scale,Structure ID,Unique Structures,Alpha,Power,Probability of Structure,Expected Observations,Minimum Required Sample Size
0.5,70,1000,0.01,0.8,0.002524933164906644,25249.33164906644,26
0.5,70,1000,0.01,0.9,0.002524933164906644,25249.33164906644,32
0.5,70,1000,0.05,0.8,0.002524933164906644,25249.33164906644,17
0.5,70,1000,0.05,0.9,0.002524933164906644,25249.33164906644,23
0.5,71,1000,0.01,0.8,0.0015195896861471948,15195.896861471949,26
0.5,71,1000,0.01,0.9,0.0015195896861471948,15195.896861471949,32
0.5,71,1000,0.05,0.8,0.0015195896861471948,15195.896861471949,17
0.5,71,1000,0.05,0.9,0.0015195896861471948,15195.896861471949,23
0.5,72,1000,0.01,0.8,2.1272761806100907e-05,212.72761806100908,26
0.5,72,1000,0.01,0.9,2.1272761806100907e-05,212.72761806100908,32
0.5,72,1000,0.05,0.8,2.1272761806100907e-05,212.72761806100908,17
0.5,72,1000,0.05,0.9,2.1272761806100907e-05,212.72761806100908,23
0.5,73,1000,0.01,0.8,5.3543223182840534e-05,535.4322318284053,26
0.5,73,1000,0.01,0.9,5.3543223182840534e-05,535.4322318284053,32
0.5,73,1000,0.05,0.8,5.3543223182840534e-05,535.4322318284053,17
0.5,73,1000,0.05,0.9,5.3543223182840534e-05,535.4322318284053,23
0.5,74,1000,0.01,0.8,0.0014254384355411784,14254.384355411785,26
0.5,74,1000,0.01,0.9,0.0014254384355411784,14254.384355411785,32
0.5,74,1000,0.05,0.8,0.0014254384355411784,14254.384355411785,17
0.5,74,1000,0.05,0.9,0.0014254384355411784,14254.384355411785,23
0.5,75,1000,0.01,0.8,0.000194396708331476,1943.96708331476,26
0.5,75,1000,0.01,0.9,0.000194396708331476,1943.96708331476,32
0.5,75,1000,0.05,0.8,0.000194396708331476,1943.96708331476,17
0.5,75,1000,0.05,0.9,0.000194396708331476,1943.96708331476,23
0.5,76,1000,0.01,0.8,0.0012542560527962798,12542.560527962798,26
0.5,76,1000,0.01,0.9,0.0012542560527962798,12542.560527962798,32
0.5,76,1000,0.05,0.8,0.0012542560527962798,12542.560527962798,17
0.5,76,1000,0.05,0.9,0.0012542560527962798,12542.560527962798,23
0.5,77,1000,0.01,0.8,0.0003183853078145952,3183.8530781459517,26
0.5,77,1000,0.01,0.9,0.0003183853078145952,3183.8530781459517,32
0.5,77,1000,0.05,0.8,0.0003183853078145952,3183.8530781459517,17
0.5,77,1000,0.05,0.9,0.0003183853078145952,3183.8530781459517,23
0.5,78,1000,0.01,0.8,0.0004937959954320854,4937.959954320854,26
0.5,78,1000,0.01,0.9,0.0004937959954320854,4937.959954320854,32
0.5,78,1000,0.05,0.8,0.0004937959954320854,4937.959954320854,17
0.5,78,1000,0.05,0.9,0.0004937959954320854,4937.959954320854,23
0.5,79,1000,0.01,0.8,0.0017165420246999241,17165.42024699924,26
0.5,79,1000,0.01,0.9,0.0017165420246999241,17165.42024699924,32
0.5,79,1000,0.05,0.8,0.0017165420246999241,17165.42024699924,17
0.5,79,1000,0.05,0.9,0.0017165420246999241,17165.42024699924,23
0.5,80,1000,0.01,0.8,0.000572621480238526,5726.21480238526,26
0.5,80,1000,0.01,0.9,0.000572621480238526,5726.21480238526,32
0.5,80,1000,0.05,0.8,0.000572621480238526,5726.21480238526,17
0.5,80,1000,0.05,0.9,0.000572621480238526,5726.21480238526,23
0.5,81,1000,0.01,0.8,0.00010118494555459698,1011.8494555459698,26
0.5,81,1000,0.01,0.9,0.00010118494555459698,1011.8494555459698,32
0.5,81,1000,0.05,0.8,0.00010118494555459698,1011.8494555459698,17
0.5,81,1000,0.05,0.9,0.00010118494555459698,1011.8494555459698,23
0.5,82,1000,0.01,0.8,0.0001281787125990528,1281.787125990528,26
0.5,82,1000,0.01,0.9,0.0001281787125990528,1281.787125990528,32
0.5,82,1000,0.05,0.8,0.0001281787125990528,1281.787125990528,17
0.5,82,1000,0.05,0.9,0.0001281787125990528,1281.787125990528,23
0.5,83,1000,0.01,0.8,0.0018014803924535935,18014.803924535936,26
0.5,83,1000,0.01,0.9,0.0018014803924535935,18014.803924535936,32
0.5,83,1000,0.05,0.8,0.0018014803924535935,18014.803924535936,17
0.5,83,1000,0.05,0.9,0.0018014803924535935,18014.803924535936,23
0.5,84,1000,0.01,0.8,0.00010154044848058467,1015.4044848058467,26
0.5,84,1000,0.01,0.9,0.00010154044848058467,1015.4044848058467,32
0.5,84,1000,0.05,0.8,0.00010154044848058467,1015.4044848058467,17
0.5,84,1000,0.05,0.9,0.00010154044848058467,1015.4044848058467,23
0.5,85,1000,0.01,0.8,0.0002223158195551189,2223.158195551189,26
0.5,85,1000,0.01,0.9,0.0002223158195551189,2223.158195551189,32
0.5,85,1000,0.05,0.8,0.0002223158195551189,2223.158195551189,17
0.5,85,1000,0.05,0.9,0.0002223158195551189,2223.158195551189,23
0.5,86,1000,0.01,0.8,0.0014707611816226027,14707.611816226026,26
0.5,86,1000,0.01,0.9,0.0014707611816226027,14707.611816226026,32
0.5,86,1000,0.05,0.8,0.0014707611816226027,14707.611816226026,17
0.5,86,1000,0.05,0.9,0.0014707611816226027,14707.611816226026,23
0.5,87,1000,0.01,0.8,0.0010102097426265538,10102.097426265538,26
0.5,87,1000,0.01,0.9,0.0010102097426265538,10102.097426265538,32
0.5,87,1000,0.05,0.8,0.0010102097426265538,10102.097426265538,17
0.5,87,1000,0.05,0.9,0.0010102097426265538,10102.097426265538,23
0.5,88,1000,0.01,0.8,0.001698608450200174,16986.08450200174,26
0.5,88,1000,0.01,0.9,0.001698608450200174,16986.08450200174,32
0.5,88,1000,0.05,0.8,0.001698608450200174,16986.08450200174,17
0.5,88,1000,0.05,0.9,0.001698608450200174,16986.08450200174,23
0.5,89,1000,0.01,0.8,0.0003351359700888749,3351.359700888749,26
0.5,89,1000,0.01,0.9,0.0003351359700888749,3351.359700888749,32
0.5,89,1000,0.05,0.8,0.0003351359700888749,3351.359700888749,17
0.5,89,1000,0.05,0.9,0.0003351359700888749,3351.359700888749,23
